question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q30,Would you like to receive pain during sex?,"Yes, lots and lots","Yes, some",No,,32084,O,,sex/intimacy; BDSM
q32,Group sex (with 3 or more people):,I have tried it.,It seriously interests me.,I have little or no interest.,,32816,O,,sex/intimacy
q37,How old were you when you lost your virginity?,Under 18,18 or Over,I never have!,,19511,O,,sex/intimacy
q92,Your friends are:,mostly guys,mostly girls,both guys and girls,,8647,O,"1, 3, 2",descriptive
q102,Do you like to play contact sports?,Yes,"I do, but I don't play much anymore.",No,,13173,O,,preference
q122,How much does physical attractiveness matter to you in a match?,A lot,A little,Not at all,,36797,O,,preference
q126,What kind of shape are you in?,Great,Average,Shitty,,26252,O,,descriptive
q128,Do you have any tattoos?,I have 1 or more BIG tattoos,I have 1 or more LITTLE tattoos,I have no tattoos,,40450,O,,descriptive
q132,Can you run a mile without stopping?,Yes,No,Yes - And More,,22862,O,"3, 1, 2",descriptive
q133,Are you physically strong?,"Yes, very",Average,"No, not really",,17136,O,,descriptive
q137,Would you terminate a pregnancy if the baby was going to be mentally disabled?,Yes,No,It depends on the severity,,10702,O,"1, 3, 2",preference; descriptive
q166,"Politically, which way do you lean?",To the right (republican in the US),To the left (democrat in the US),To the middle / I don't know,,11714,O,"1, 3, 2",politics
q167,Do you recycle?,Almost always,Sometimes,Rarely or not at all,,24586,O,,politics
q179,Who's smarter on average?,Men,Women,"Neither, they're the same on average",,23841,O,"1, 3, 2",opinion
q229,Do you think humans have enough respect for the Earth's other species?,"Yes, too much","Yes, about right",No,,16960,O,,politics; opinion
q234,Does fashion matter to you?,A lot,A little,Not at all,,26847,O,,preference
q262,Most claims of sexual harrassment in the workplace are LIES made up by a scorned woman.,True,False,I don't know,,6353,O,"1, 3, 2",politics; opinion
q305,Goth chicks?,Sexy,Lame,I don't know,,21558,O,"1, 3, 2",preference; opinion
q318,How important is money/wealth for you in a match?,Very important,Somewhat important,Not important at all,,35375,O,,preference
q323,How confident are you in your sexual abilities?,Super confident,Confident,Not really confident,,31389,O,,sex/intimacy; descriptive
q338,How does your maturity level compare with most people your age?,I'm more mature,I'm average,I'm less mature,,29286,O,,descriptive
q347,"Would you, or did you, go to your 10-year high school reunion?",Yes,"No, but I wanted to",No,,11553,O,,preference; descriptive
q365,"How much would you enjoy hosting a big, crazy party?",A lot,Not that much,Not at all,,23047,O,,preference; opinion
q366,"When you're not in a serious relationship, what do you prefer?",Dating multiple people at once,Dating one person at a time,"I only have serious relationships, I don't 'date'",,25073,O,,preference
q411,"Do humans and modern primates (apes, chimps, etc) share a common evolutionary ancestor?",Yes,No,Unsure,,33037,O,"1, 3, 2",religion/superstition
q412,Is global warming a serious problem?,Yes,No,I don't know,,22818,O,"1, 3, 2",politics; opinion
q429,"Do you think the media, in general, is too conservative, too liberal, or actually pretty impartial?",Too conservative,Too liberal,Impartial,,1857,O,"1, 3, 2",politics; opinion
q612,Should evolution and creationism be taught side-by-side in school?,"Yes, students should hear both sides","No, creationism has no place in schools","No, evolution has no place in schools",,44907,O,"2, 1, 3",politics; religion/superstition
q637,Have you ever had sex in a place where there was a high risk of being caught?,Yes,"No, but it sounds like fun","No, I don't think I could do it",,28379,O,,sex/intimacy; preference; descriptive
q647,"Politics: Should the US be forced to abide by the WOMD rules it sets for other countries? This includes biological, nuclear and other weapons of mass destruction that the US claims to have a right to have.",Yes,No,Unsure / Don't Care,,3731,O,"1, 3, 2",politics
q656,Has Christianity made the world better or worse?,Better,Worse,No opinion / Not sure,,12312,O,"1, 3, 2",politics; religion/superstition
q678,Do you think that people should be allowed to marry more than one person at a time?,Yes,No,I don't know,,14857,O,"1, 3, 2",politics; sex/intimacy; religion/superstition 
q868,Is it wrong to cultivate or manufacture illegal drugs?,"Yes, always","No, never",Sometimes,,16763,O,"1, 3, 2",politics
q889,"Do you prefer to pursue a potential partner, or for them to pursue you?",I'd rather pursue.,I'd rather be pursued.,I prefer a little of both.,,11401,O,"1, 3, 2",sex/intimacy; preference
q946,Do you consider yourself to be good at clear verbal communication?,Yes,No,Sometimes,,10760,O,"1, 3, 2",descriptive
q986,Do you believe in an afterlife/life after death/resurrection?,Yes,No,I'm Not Sure,,26714,O,"1, 3, 2",religion/superstition
q1049,Would you prefer the lights on or off during sex?,On,Off,It's exactly the same to me,,28621,O,"1, 3, 2",sex/intimacy
q1052,How often do you get angry?,Very often,Sometimes,Rarely,,37223,O,,descriptive
q1055,"People who are convicted of morally heinous crimes (child molestors, for example) deserve to have bad things happen to them in prison.",True,False,Maybe / I don't know,,8285,O,"1, 3, 2",politics; religion/superstition; opinion
q1121,Have you ever had multiple romantic partners during the same time period?,"Yes, and they both knew.","Yes, and I didn't tell at least one of them.",No.,,12826,O,,sex/intimacy
q1132,Would you ever consider cutting a partner (who asked for it) in sexual play?,Yes,Maybe,No,,32264,O,,sex/intimacy
q1134,Do you have a desire (even if it's secret) to take part in sexual activities involving bondage?,Yes,No,Absolutely not.,,26109,O,,sex/intimacy; BDSM
q1138,Have you ever been to prison?,Yes,No,Just to visit / I was working,,15236,O,"1, 3, 2",descriptive
q1187,Break-ups. Which has happened more?,Usually I break up with them,Usually they break up with me,It's been equal on both sides.,,10340,O,"1, 3, 2",sex/intimacy; descriptive
q1249,Watching cartoons as an adult is...?,Pathetic,Cool,I don't care either way / Not sure,,14634,O,"1, 3, 2",opinion
q1250,Should frontal nudity be allowed on non-pay television?,Yes,No,Only during certain hours,,5206,O,"1, 3, 2",politics; opinion
q1311,"As a personality, are you more passive or more active?",More passive,More active,Exactly balanced,,18254,O,"1, 3, 2",descriptive
q1436,Would you leave an otherwise perfect relationship if you found out your partner was interested in children sexually?,Yes,No,I'm Not Sure,,20432,O,"1, 3, 2",sex/intimacy; preference
q1446,Do you care about other people's suffering?,"Yes, solidarity is important","No, everyone has their own responsibility",It depends on the kind of suffering,,28942,O,"1, 3, 2",politics; preference
q1447,Would you be willing to pay for good sex?,Yes,No,I'm Not Sure,,12956,O,"1, 3, 2",politics; preference
q1536,Are you quick to trust until proven wrong or more slow to trust until worth is proven?,"Quick to trust, until proven wrong.","Slow to trust, until worth is proven.",I don't know.,,2045,O,"1, 3, 2",preference; descriptive
q1552,Do you get depressed much?,"Almost never, I'm happy!","Sometimes, when it's a bad day","Yeah, despair is my life",,9958,O,,descriptive
q1667,Do you wear deoderant/antiperspirant?,Usually,I mean to but often forget,I prefer to go without,,5489,O,,preference; descriptive
q1707,Which of the following best describes your typical demeanor?,Cheerful!  I have a positive outlook.,Meh. I have my ups and downs.,Annoyed. The world sucks.,,38613,O,,descriptive
q1730,Do you enjoy Rap/Hip-Hop?,Yes,No,Some,,30046,O,"1, 3, 2",preference
q1832,How should people spell 'women'?,Women,"Womyn, or other feminist spelling revisions",I don't care either way,,7391,O,"1, 3, 2",politics
q4043,Are you scared of commitment?,Yes,No,I'm Not Sure,,9822,O,"1, 3, 2",sex/intimacy; descriptive
q5764,Sharing a toothbrush with your partner is:,Utterly disgusting,"Okay, sometimes",A sign of closeness,,26521,O,,sex/intimacy; preference
q5886,Do you like old black-and-white movies?,"Yes, they're great!","No, they're boring!",I don't know/I haven't seen any,,14958,O,"1, 3, 2",preference; descriptive
q6073,Should sex education be given to children under 15?,Yes,No,I'm Not Sure,,8952,O,"1, 3, 2",politics; religion/superstition
