question_code,text,option_1,option_2,option_3,option_4,N,Type,Order,Keywords
q12,Divide your age by 2.  Have you had sex with at least that many people?,Yes,No,,,22496,O,,sex/intimacy
q13,Is a girl who's slept with 100 guys a bad person?,Yes,No,,,32581,O,,sex/intimacy
q14,Is a guy who's slept with 100 girls a bad person?,Yes,No,,,31127,O,,sex/intimacy
q16,"Should sex with someone 16 years old be a jailable offense, if you're 25 or older?",Yes,No,,,8341,O,,sex/intimacy
q17,Would you date someone just for the sex?,Yes,No,,,38180,O,,sex/intimacy
q18,Do you have experience being in a slave/master relationship?,Yes,No,,,21686,O,,sex/intimacy; BDSM
q20,"BDSM: Without looking it up, do you know exactly what it stands for?",Yes,No,,,16643,O,,sex/intimacy; BDSM
q21,Do you enjoy meaningless sex?,Yes,No,,,31024,O,,sex/intimacy
q22,Do you read erotic fiction?,Yes,No,,,18677,O,,sex/intimacy
q24,Is it wrong to watch pornographic films if you're in a relationship?,Yes,No,,,16666,O,,sex/intimacy
q25,Would you watch a porno movie with your ideal match?,Yes,No,,,13987,O,,sex/intimacy
q26,Have you ever owned sex toys?,Yes,No,,,25010,O,,sex/intimacy
q27,Which is a bigger deal for you?,Telling someone you really care,Oral sex,,,24749,O,,sex/intimacy
q28,Would you dump someone simply because they weren't good at sex?,Yes,No,,,30477,O,,sex/intimacy
q33,Do you like kissing in public?,Yes,No,,,23004,O,,sex/intimacy
q36,Would you ever consider an open marriage? That means you can sleep with other people.,Yes,No,,,16649,O,,sex/intimacy
q38,Would you ever take your family to a nude beach?,Yes,No,,,5530,O,,sex/intimacy
q39,Would you let your children under 13 watch movies with full nudity?,Yes,No,,,26933,O,,sex/intimacy
q42,Is your duty to religion/God the most important thing in your life?,Yes,No,,,16024,O,,religion/superstition
q43,"Do you believe in some kind of a spiritual, cosmic force outside the realm of most modern religion?",Yes,No,,,6595,O,,religion/superstition
q44,Some religions are more correct than others.,True,False,,,29109,O,,religion/superstition
q45,Do you believe in ghosts?,Yes,No,,,21619,O,,religion/superstition
q50,Have you ever seen a therapist?,Yes,No,,,9507,O,,descriptive
q51,Do you think really abstract art—like just splattered paint—can be truly brilliant?,Yes,No,,,18314,O,,opinion
q53,"When telling stories, do you like to exaggerate?",Yes,No,,,12586,O,,preference
q55,Does the idea of flipping a coin to make important life decisions appeal to you?,Yes,No,,,34393,O,,preference
q56,Are you attracted to dangerous situations?,Yes,No,,,39510,O,,preference
q57,Do you like to argue?,Yes,No,,,33896,O,,preference
q60,Which describes you better?,Warm-hearted,Cool-headed,,,21205,O,,descriptive
q61,Are you a better conversationalist or listener?,Conversationalist,Listener,,,3174,O,,descriptive
q63,Which word describes you better?,Private,Social,,,23765,O,,descriptive
q64,Which is more important in a healthy relationship?,Maintaining privacy,Total openness,,,24393,O,,sex/intimacy
q65,Do you have a problem with racist jokes?,Yes,No,,,38041,O,,preference
q67,Are you modest?,Yes,No,,,5596,O,,descriptive
q68,Are you a highly skilled writer?,Yes,No,,,9320,O,,descriptive
q69,Are you more of a fast or careful talker?,Fast,Careful,,,12184,O,,descriptive
q70,Do you think homosexuality is a sin?,Yes,No,,,48983,O,,religion/superstition
q71,Is interracial marriage a bad idea?,Yes,No,,,32492,O,,politics
q73,Would you rather live in the big city or a small town?,Big city,Small town,,,28084,O,,preference
q75,How do you like your social plans?,Settled and decided,Tentative,,,16121,O,,preference
q82,Have you ever tried Yoga?,Yes,No,,,13960,O,,descriptive
q83,Do you enjoy gossip?,Yes,No,,,15402,O,,preference
q84,Do you regularly go out partying on weeknights?,Yes,No,,,22078,O,,descriptive
q86,Do you own a gun?,Yes,No,,,25688,O,,descriptive
q90,"On a daily basis, do you spend a lot of time trying to make yourself look good?",Yes,No,,,15743,O,,descriptive
q93,"Generally, in life, what makes you happier?",Quality,Variety,,,21406,O,,preference; opinion
q94,Are you almost always on time?,Yes,No,,,22041,O,,descriptive
q95,Do you regularly paint or sculpt?,Yes,No,,,8941,O,,descriptive
q96,"Are you, or have you ever been, in a band?  (A solo act is fine, too. Don't count school bands.)",Yes,No,,,10925,O,,descriptive
q97,Do you write poetry?,Yes,No,,,9999,O,,descriptive
q105,Do you have a child or children?,Yes,No,,,31097,O,,descriptive
q106,Have you ever been married?,Yes,No,,,28994,O,,descriptive
q109,"Could you name 5 impressionists, and a painting by each?",Yes,No,,,7998,O,,descriptive
q110,"Can you name 5 operas, and their composers?",Yes,No,,,11074,O,,descriptive
q111,Can you name any ballet other than the Nutcracker?,Yes,No,,,10630,O,,descriptive
q112,"Would you travel around a third world country, alone?",Yes,No,,,5715,O,,descriptive
q113,Have you ever traveled around another country alone?,Yes,No,,,18395,O,,descriptive
q114,"Is it okay to live with someone you're dating, even before you're engaged or married?",Yes,No,,,30969,O,,sex/intimacy; opinion
q115,Do animals have 'souls' like humans do?,Yes,No,,,6871,O,,religion/superstition
q116,Is evil necessary in the world?,Yes,No,,,6462,O,,religion/superstition; opinion
q123,Would you strongly prefer to go out with someone of your own skin color / racial background?,Yes,No,,,53312,O,,preference
q124,Do you work out a lot?,Yes,No,,,26934,O,,descriptive
q125,Do you lift weights?,Yes,No,,,12988,O,,descriptive
q127,Do you wear expensive designer clothes?,Yes,No,,,14566,O,,descriptive
q129,"Do you have any 'extreme' piercings (this includes anything other than ears, nose, or navel)?",Yes,No,,,22019,O,,descriptive
q130,Do you look better dressed or naked?,Dressed,Naked,,,13263,O,,descriptive
q134,Do you think women have an obligation to keep their legs shaved?,Yes,No,,,40673,O,,preference
q135,"All else the same, would you rather date someone rich or hot?",Rich,Hot,,,10348,O,,preference
q136,Would you get upset if your girlfriend/boyfriend flirted in front of you?,Yes,No,,,36168,O,,sex/intimacy; preference; descriptive
q140,"If you had to guess, do you think humans will go extinct in the next 1000 years?",Yes,No,,,11600,O,,preference
q141,Would you be happy raising the kids while your spouse worked?,Yes,No,,,20675,O,,preference
q142,Is it possible to love someone you don't even like?,Yes,No,,,22947,O,,sex/intimacy; opinion
q144,Would you ever sleep with a serial killer?,Yes,No,,,12199,O,,sex/intimacy; preference
q148,"Would you rather know everything about your mate, or be regularly surprised?",Surprised,All-knowing,,,18338,O,,preference
q152,"If you had a one-night stand DURING a relationship, would you confess to your mate?",Yes,No,,,16792,O,,sex/intimacy; descriptive
q154,"In a certain light, wouldn't nuclear war be exciting?","Yes, it would.","No, it wouldn't.",,,50514,O,,opinion
q155,Would you ever seriously date someone twice your age?,Yes,No,,,26336,O,,preference
q156,Would you ever seriously date someone half your age?,Yes,No,,,13922,O,,preference
q157,Do you have your own web page?,Yes,No,,,8471,O,,descriptive
q158,Are you an aspiring actor/artist/writer or other creative type?,Yes,No,,,40052,O,,descriptive
q159,Do you know any programming languages?,Yes,No,,,9709,O,,descriptive
q160,Which is more appealing?,A life of leisure,A life of accomplishment,,,21160,O,,preference; opinion
q161,Would you rather have more money or more freedom?,More money,More freedom,,,21440,O,,preference; opinion
q163,"If a poor 20 year-old woman marries a wealthy 40 year-old man, do you assume it's for the money?",Yes,No,,,13647,O,,descriptive
